City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
322,freetown,8.484,-13.2299,299.99,83,75,2.57,SL,1696030470
323,gdov,58.7406,27.8122,288.0,82,100,4.87,RU,1696030471
324,hastings,50.8552,0.5729,287.47,36,99,3.02,GB,1696030471
325,grantsville,40.5999,-112.4644,302.67,38,0,3.6,US,1696030471
326,cedeira,43.6797,-8.0209,291.14,75,8,2.97,ES,1696030471
327,casper,42.8666,-106.3131,300.22,16,0,5.14,US,1696030466
328,sungailiat,-1.85,106.1333,300.44,76,62,4.01,ID,1696030471
329,mo i rana,66.3128,14.1428,284.44,93,100,1.03,NO,1696030471
330,wailua homesteads,22.0669,-159.378,301.55,72,40,6.17,US,1696030278
331,sandnessjoen,66.0217,12.6316,283.44,100,75,1.03,NO,1696030364
332,shiguai,40.7058,110.2856,281.94,38,0,1.69,CN,1696030472
333,umm kaddadah,13.6017,26.6876,304.61,36,41,2.52,SD,1696030472
334,puerto baquerizo moreno,-0.9,-89.6,296.1,79,36,4.45,EC,1696030344
335,mankono,8.0586,-6.1897,296.12,94,21,1.22,CI,1696030472
336,lupane,-18.9315,27.807,294.0,54,31,3.31,ZW,1696030472
337,howrah,22.5892,88.3103,299.15,94,75,3.09,IN,1696030473
338,miles city,46.4083,-105.8406,294.69,40,0,0.0,US,1696030473
339,mechetinskaya,46.7713,40.456,288.51,52,0,3.6,RU,1696030473
340,novyy urgal,51.0736,132.5642,280.92,91,100,0.83,RU,1696030473
341,ubari,26.5921,12.7805,299.36,32,80,5.51,LY,1696030473
342,tomatlan,19.9333,-105.25,301.69,86,52,2.07,MX,1696030473
343,prince rupert,54.3161,-130.3201,285.2,84,0,6.17,CA,1696030211
344,concepcion,-36.827,-73.0498,290.04,67,0,5.14,CL,1696030298
345,sengkang,-4.1279,120.0297,301.26,64,46,3.2,ID,1696030474
346,burley,42.5357,-113.7928,294.98,34,0,4.02,US,1696030474
347,chok chai,14.7284,102.1652,299.95,92,100,1.77,TH,1696030474
348,acajutla,13.5928,-89.8275,301.59,79,63,1.3,SV,1696030474
349,zainsk,55.3195,52.0694,284.7,96,84,2.42,RU,1696030475
350,pandan,14.0453,124.1694,301.56,83,100,2.82,PH,1696030475
351,hobyo,5.3505,48.5268,298.85,89,33,9.76,SO,1696030475
352,zhigalovo,54.8097,105.1578,280.11,77,73,0.4,RU,1696030475
353,rio tuba,8.5061,117.4317,300.85,83,81,5.92,PH,1696030475
354,praia,14.9215,-23.5087,299.45,89,20,3.6,CV,1696030475
355,sao miguel do tapuio,-5.5036,-41.3233,302.03,27,61,3.6,BR,1696030476
356,shibganj,24.6829,88.1598,299.83,84,100,2.36,BD,1696030476
357,manokwari,-0.8667,134.0833,301.19,73,90,1.25,ID,1696030476
358,heihe,50.2441,127.4902,282.47,66,96,5.56,CN,1696030476
359,berdigestyakh,62.0989,126.6992,274.56,50,82,1.8,RU,1696030476
360,tarrafal de sao nicolau,16.5667,-24.3667,299.12,83,95,4.48,CV,1696030476
361,suntar,62.1444,117.6319,280.01,79,94,2.46,RU,1696030476
362,myitkyina,25.3833,97.4,296.39,99,66,0.27,MM,1696030476
363,concepcion del uruguay,-32.4825,-58.2372,290.92,70,9,2.24,AR,1696030257
